key_0,MOEX,PIKK.ME,MGNT.ME,MSNG.ME,ROSN.ME,NKNC.ME,GCHE.ME,NLMK.ME,GAZP.ME,FEES.ME,AFLT.ME,VSMO.ME,LKOH.ME,PLZL.ME,CHMF.ME,RTKM.ME,MVID.ME,LSRG.ME,NMTP.ME,KMAZ.ME,VTBR.ME,TRMK.ME,HYDR.ME,SVAV.ME,GMKN.ME,RSTI.ME,RASP.ME,SNGS.ME,MSRS.ME,BSPB.ME,MAGN.ME
2014-04-01,1375.72998046875,64.18946838378906,5752.65234375,0.5467013716697693,170.2259979248047,12.21176528930664,339.91033935546875,20.398889541625977,87.99104309082031,0.049546338617801666,45.79783248901367,3355.90234375,1212.655517578125,448.56243896484375,106.34103393554688,51.42112350463867,125.05397033691406,222.4730682373047,1.1341654062271118,35.939090728759766,0.03233344480395317,51.14053726196289,0.41351160407066345,455.0643615722656,2798.361083984375,0.4677101969718933,18.23737335205078,22.346603393554688,0.6314776539802551,25.530622482299805,3.3066089153289795
2014-04-02,1373.3299560546875,64.9298095703125,5821.96240234375,0.5484042167663574,171.1811065673828,12.157904624938965,336.5784912109375,20.063339233398438,87.34999084472656,0.04909997805953026,45.642364501953125,3320.363525390625,1205.4991455078125,439.4288024902344,105.01876068115234,55.5604248046875,126.7551498413086,220.97381591796875,1.1278115510940552,35.745609283447266,0.03196416050195694,50.62377166748047,0.41351160407066345,445.6910400390625,2857.9609375,0.4587673246860504,18.00963592529297,22.48422622680664,0.6411446332931519,25.962125778198242,3.2939083576202393
2014-04-03,1366.0400390625,63.80355453491211,5821.96240234375,0.5469852089881897,169.34437561035156,11.731825828552246,335.7909851074219,19.94683074951172,87.09098815917969,0.048902302980422974,45.658729553222656,3319.63916015625,1205.4991455078125,438.7262268066406,102.41434478759766,54.57487869262695,126.19183349609375,221.4091033935547,1.1168909072875977,35.803653717041016,0.03136508911848068,50.664031982421875,0.41264113783836365,460.3942565917969,2839.65869140625,0.4534017741680145,17.70901870727539,22.36380958557129,0.6492820978164673,25.386789321899414,3.266777276992798
2014-04-04,1382.4100341796875,64.9298095703125,5842.75341796875,0.5497523546218872,170.806396484375,11.838478088378906,348.149169921875,20.5899715423584,89.01411437988281,0.04742930829524994,45.838741302490234,3340.257568359375,1212.90234375,437.9455871582031,106.70164489746094,54.26073455810547,129.49281311035156,221.5058135986328,1.1416113376617432,36.151920318603516,0.03192312642931938,50.80497741699219,0.40836086869239807,504.59576416015625,2879.07861328125,0.4641337990760803,18.16449737548828,22.490249633789062,0.6598670482635498,25.31487464904785,3.3141136169433594
2014-04-07,1349.7900390625,64.50450897216797,5731.85986328125,0.540386438369751,170.02029418945312,11.82674789428711,343.48455810546875,20.04469871520996,86.76075744628906,0.04392216354608536,43.73582458496094,3389.65380859375,1184.5230712890625,426.0797119140625,105.65985870361328,51.741424560546875,125.05397033691406,217.49166870117188,1.0970350503921509,35.697242736816406,0.03097117878496647,51.006309509277344,0.3931262493133545,495.2225036621094,2871.10107421875,0.44088149070739746,17.362855911254883,22.23650550842285,0.6500775218009949,24.660423278808594,3.134004831314087
2014-04-08,1352.3299560546875,64.18946838378906,5655.61962890625,0.5415925979614258,168.9403076171875,11.960062026977539,338.0323486328125,20.17519187927246,86.2815933227539,0.043329134583473206,43.68672561645508,3476.857666015625,1184.5230712890625,427.7190246582031,107.10234069824219,50.0598258972168,125.31871795654297,215.9923553466797,1.1037858724594116,35.20386505126953,0.03138970211148262,51.20094680786133,0.39211058616638184,490.8114929199219,2928.353759765625,0.44624799489974976,17.353742599487305,22.150489807128906,0.6431025862693787,24.32241439819336,3.2731270790100098
2014-04-09,1348.8499755859375,65.70953369140625,5530.86376953125,0.5392511487007141,170.43907165527344,12.265089988708496,348.3309020996094,20.13789939880371,85.67292785644531,0.04410707950592041,44.0631217956543,3573.13916015625,1172.18408203125,445.75213623046875,110.98892974853516,49.67792892456055,127.30718994140625,224.89125061035156,1.124336838722229,35.50375747680664,0.03151281177997589,51.12711715698242,0.3997279107570648,504.3200988769531,2913.80615234375,0.4453534185886383,17.408403396606445,22.2287654876709,0.6607235074043274,24.113855361938477,3.4405362606048584
2014-04-10,1367.7099609375,68.51339721679688,5426.89990234375,0.5554996728897095,172.34188842773438,12.347745895385742,338.27471923828125,20.683181762695312,87.29820251464844,0.04431750625371933,44.3086051940918,3686.176513671875,1180.2047119140625,438.7262268066406,114.83548736572266,53.435333251953125,133.0979766845703,238.91671752929688,1.1157989501953125,35.44571304321289,0.03208725526928902,50.5902099609375,0.41496261954307556,512.6825561523438,2992.177001953125,0.4507189989089966,17.62703514099121,22.4704647064209,0.7341440320014954,24.58850860595703,3.550217390060425
2014-04-11,1362.4000244140625,69.3010025024414,5419.96875,0.5480495095252991,170.8284454345703,12.22829532623291,348.27032470703125,20.562009811401367,86.7672348022461,0.04323986545205116,43.69491195678711,3717.996337890625,1171.0120849609375,446.53271484375,112.27112579345703,51.556640625,135.7567901611328,233.54835510253906,1.0969358682632446,35.184513092041016,0.0325632318854332,50.99289321899414,0.41155296564102173,496.1414489746094,3036.759033203125,0.4453534185886383,17.408403396606445,22.342302322387695,0.7054487466812134,24.063512802124023,3.553680419921875
2014-04-14,1344.8599853515625,68.48189544677734,5336.7978515625,0.548262357711792,171.8275909423828,12.267223358154297,337.42657470703125,20.347623825073242,84.8246841430664,0.042978424578905106,43.08940124511719,3573.13916015625,1159.8455810546875,446.6888427734375,108.06396484375,50.82362365722656,128.99710083007812,230.74330139160156,1.0863128900527954,34.19776153564453,0.032317034900188446,50.30160903930664,0.41198816895484924,491.8223876953125,3049.899169921875,0.44088149070739746,17.435731887817383,22.492828369140625,0.7004928588867188,23.222078323364258,3.427834987640381
