key_0,IBOVESPA,ABEV3.SA,BTOW3.SA,B3SA3.SA,BBSE3.SA,BRML3.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,CCRO3.SA,CMIG4.SA,HGTX3.SA,CIEL3.SA,COGN3.SA,CPLE6.SA,CSAN3.SA,CPFE3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENGI11.SA,ENEV3.SA,EGIE3.SA,EQTL3.SA
2018-02-26,87653.0,20.330448150634766,23.51436424255371,8.159448623657227,22.655492782592773,11.465043067932129,21.198902130126953,24.486387252807617,29.88063621520996,36.01429748535156,40.97549819946289,28.600000381469727,10.81907844543457,5.852884292602539,21.29141616821289,19.953908920288086,15.081599235534668,2.0212013721466064,10.611003875732422,19.809906005859375,55.48859405517578,12.071202278137207,9.079965591430664,19.842226028442383,22.635007858276367,22.475997924804688,11.026941299438477,29.700984954833984,3.4375,24.791950225830078,12.951726913452148
2018-02-27,86935.0,20.394697189331055,23.830656051635742,7.946538925170898,22.43353271484375,11.14195442199707,21.054840087890625,24.220165252685547,29.713281631469727,35.662689208984375,40.41989517211914,28.649999618530273,11.176518440246582,5.811324596405029,20.956188201904297,19.87994956970215,14.890694618225098,1.985053300857544,10.247330665588379,19.8508358001709,55.164390563964844,12.002572059631348,9.330384254455566,20.19915771484375,22.905134201049805,22.694599151611328,11.083697319030762,30.441680908203125,3.434999942779541,24.729345321655273,13.111943244934082
2018-02-28,85481.0,20.19277000427246,23.51436424255371,7.68265438079834,22.27280044555664,11.01271915435791,20.406574249267578,23.457792282104492,28.592021942138672,34.99296188354492,40.31571578979492,29.920000076293945,11.07190227508545,5.686648845672607,20.83840560913086,19.87994956970215,14.795239448547363,1.9496747255325317,9.98263168334961,19.7034912109375,55.154563903808594,11.697552680969238,9.3211088180542,20.093700408935547,22.166259765625,21.621471405029297,10.783700942993164,30.176490783691406,3.380000114440918,24.51022720336914,13.1856050491333
2018-03-01,85378.0,20.50484275817871,23.24749183654785,7.67365837097168,22.356990814208984,10.828095436096191,20.56171226501465,23.590909957885742,27.997928619384766,35.24410629272461,39.9077033996582,30.149999618530273,10.967286109924316,5.568898677825928,21.064910888671875,19.888166427612305,14.804786682128906,1.954289197921753,10.194391250610352,19.52339744567871,55.43947219848633,11.59079360961914,8.560580253601074,19.606975555419922,22.166259765625,21.462493896484375,10.986400604248047,31.262847900390625,3.4024999141693115,24.610395431518555,13.121150970458984
2018-03-02,85761.0,20.72512435913086,23.623090744018555,7.760620594024658,22.34933853149414,10.874252319335938,20.80963897705078,23.740570068359375,27.596282958984375,35.53518295288086,40.237586975097656,30.84000015258789,10.984723091125488,5.714354515075684,20.476001739501953,19.633398056030273,14.623424530029297,1.95736563205719,10.19669246673584,19.768978118896484,54.47667694091797,11.674674987792969,8.504932403564453,20.045026779174805,22.674734115600586,21.363128662109375,11.21342658996582,31.337127685546875,3.4000000953674316,24.51022720336914,13.296098709106445
2018-03-05,86023.0,20.670053482055664,23.84054183959961,7.856577396392822,22.51772689819336,10.911176681518555,21.092350006103516,23.897958755493164,27.261581420898438,35.82991027832031,39.98583221435547,24.75,10.888823509216309,5.700501441955566,20.249496459960938,19.764892578125,14.986146926879883,1.958134651184082,10.102320671081543,19.809906005859375,53.730010986328125,11.850062370300293,8.430734634399414,20.0125789642334,22.86541175842285,21.48236656188965,11.20531940460205,31.448551177978516,3.387500047683716,24.572830200195312,13.419485092163086
2018-03-06,85653.0,20.899518966674805,24.38416862487793,7.871572971343994,22.578956604003906,10.809635162353516,21.31407928466797,23.94032859802246,27.19464111328125,36.62145233154297,40.619564056396484,24.139999389648438,10.557537078857422,5.6173834800720215,20.276676177978516,19.411508560180664,14.671150207519531,1.9227561950683594,10.198994636535645,19.834463119506836,53.25843811035156,11.819560050964355,8.263789176940918,19.793554306030273,22.539670944213867,20.896121978759766,11.059374809265137,31.476404190063477,3.365000009536743,24.203454971313477,13.338456153869629
2018-03-07,85484.0,21.17487144470215,24.690576553344727,7.841585636138916,22.234527587890625,10.818865776062012,20.64888572692871,23.516605377197266,26.96871566772461,36.368839263916016,40.50670623779297,25.15999984741211,10.697028160095215,5.7212815284729,20.113595962524414,19.641616821289062,14.43251895904541,1.927370548248291,10.15986442565918,19.785348892211914,53.445106506347656,11.750929832458496,8.078293800354004,19.185144424438477,21.522724151611328,21.2935733795166,11.018832206726074,31.569255828857422,3.387500047683716,24.453882217407227,13.388176918029785
2018-03-08,84985.0,21.38597869873047,22.338151931762695,7.8235931396484375,22.043182373046875,10.818865776062012,20.316282272338867,23.20789337158203,26.065017700195312,36.56251525878906,40.48934555053711,25.030000686645508,10.76677131652832,5.880590438842773,20.068288803100586,19.600526809692383,13.955252647399902,1.9681330919265747,10.024062156677246,19.809906005859375,54.604393005371094,11.484037399291992,8.133943557739258,18.84443473815918,20.90302085876465,20.61790657043457,11.002617835998535,32.03350830078125,3.375,24.485183715820312,13.443425178527832
2018-03-09,86371.0,21.51447868347168,23.178302764892578,8.096475601196289,22.555994033813477,10.957332611083984,20.787466049194336,23.70425033569336,26.41645622253418,36.80671310424805,41.496368408203125,26.559999465942383,10.888823509216309,5.7974724769592285,20.693443298339844,18.88553810119629,13.888435363769531,2.008126735687256,10.39003849029541,20.022737503051758,55.98964309692383,11.644172668457031,8.430734634399414,19.3879451751709,21.40355110168457,22.058673858642578,11.14856243133545,31.77352523803711,3.3924999237060547,24.51022720336914,13.204021453857422
2018-03-12,86900.0,22.010116577148438,23.771352767944336,8.087477684020996,22.525381088256836,10.911176681518555,21.03691864013672,23.891904830932617,26.784626007080078,36.613033294677734,41.84362030029297,26.920000076293945,10.897541046142578,5.852884292602539,20.86558723449707,18.778703689575195,14.012524604797363,2.0673470497131348,10.307174682617188,20.1127872467041,56.09770965576172,11.819560050964355,8.291613578796387,20.182933807373047,22.36488151550293,21.830135345458984,11.286397933959961,32.12635803222656,3.382499933242798,24.647958755493164,13.351346015930176
2018-03-13,86384.0,21.991762161254883,23.563785552978516,8.069489479064941,22.226877212524414,10.855789184570312,20.73757553100586,23.54686164855957,26.69258689880371,36.15047073364258,41.60054397583008,26.969999313354492,11.10677433013916,5.672794818878174,20.756864547729492,19.14852523803711,14.232065200805664,2.0788843631744385,9.96651840209961,20.063671112060547,56.19595718383789,11.720427513122559,8.28233814239502,19.858448028564453,21.927915573120117,21.58172607421875,11.164779663085938,32.107791900634766,3.390000104904175,24.10328483581543,13.097210884094238
