key_0,DAX,SAP.DE,SIE.DE,ALV.DE,BAS.DE,DAI.DE,BAYN.DE,ADS.DE,DTE.DE,IFX.DE,DPW.DE,MUV2.DE,VOW3.DE,DB1.DE,RWE.DE,BMW.DE,DBK.DE,EOAN.DE,MRK.DE,HEN3.DE,FRE.DE
2014-04-01,9603.7099609375,51.365421295166016,77.66959381103516,84.91267395019531,53.83430862426758,48.7786750793457,73.43055725097656,68.76493835449219,7.869182109832764,8.0483980178833,20.178447723388672,111.73588562011719,164.8587646484375,46.987239837646484,22.392871856689453,65.75506591796875,25.712909698486328,8.853316307067871,54.09526824951172,66.11425018310547,33.05459976196289
2014-04-02,9623.3603515625,51.23479080200195,77.90715026855469,84.77498626708984,53.60087966918945,48.59683609008789,73.4155044555664,69.41021728515625,7.872559070587158,8.115891456604004,21.106447219848633,111.80619049072266,164.29962158203125,45.96384048461914,22.3474063873291,66.1549301147461,25.926898956298828,8.809976577758789,53.71541213989258,65.90068054199219,32.93665313720703
2014-04-03,9628.8203125,51.3741340637207,78.3823013305664,84.63731384277344,53.37412643432617,48.81364822387695,74.07758331298828,69.00037384033203,7.82865571975708,8.058428764343262,20.828048706054688,111.59525299072266,164.04156494140625,46.3455810546875,22.21479034423828,66.43340301513672,25.635103225708008,8.782116889953613,54.16230010986328,66.43889617919922,33.11357498168945
2014-04-04,9695.76953125,51.51347351074219,79.0633316040039,85.05033874511719,53.867652893066406,49.7507438659668,74.48385620117188,68.53823852539062,7.875936985015869,7.973605155944824,20.887439727783203,112.6851806640625,164.90174865722656,46.118160247802734,22.279203414916992,67.01176452636719,25.751821517944336,8.816168785095215,54.07292175292969,67.29318237304688,32.892425537109375
2014-04-07,9510.849609375,50.65999984741211,77.08358001708984,83.46704864501953,52.613826751708984,48.91154479980469,72.61799621582031,67.28256225585938,7.764485836029053,7.833139896392822,20.319503784179688,111.77103424072266,163.1813507080078,45.5008659362793,21.858627319335938,65.56942749023438,25.230484008789062,8.658295631408691,53.581356048583984,66.24320983886719,32.74498748779297
2014-04-08,9490.7900390625,50.70354080200195,77.6300048828125,83.81124877929688,52.85392761230469,48.88357162475586,72.05372619628906,67.84935760498047,7.700315952301025,7.689029693603516,20.055950164794922,111.87651824951172,163.3533935546875,45.265323638916016,21.703277587890625,65.27666473388672,25.133216857910156,8.630435943603516,52.75461959838867,66.37338256835938,32.612300872802734
2014-04-09,9506.349609375,50.86030960083008,77.74085998535156,83.50146484375,52.580482482910156,49.254215240478516,71.86563873291016,68.154541015625,7.6868062019348145,7.719127178192139,20.27495574951172,112.6851806640625,169.20278930664062,44.834842681884766,21.767690658569336,65.18384552001953,25.199350357055664,8.58709716796875,52.19601058959961,66.42546081542969,31.9488525390625
2014-04-10,9454.5400390625,50.773216247558594,77.02023315429688,82.84750366210938,52.89393997192383,48.611270904541016,71.18851470947266,68.35511779785156,7.619261264801025,7.647070407867432,20.01511573791504,112.75550842285156,168.81568908691406,44.29877853393555,21.858627319335938,64.62690734863281,24.950359344482422,8.571619033813477,51.92788314819336,66.33866882324219,32.16999816894531
2014-04-11,9315.2900390625,49.6062126159668,76.44215393066406,82.26237487792969,51.76683807373047,47.787715911865234,69.82674407958984,68.16326141357422,7.582109451293945,7.427254676818848,19.632783889770508,112.19295501708984,167.26734924316406,43.5027961730957,21.771482467651367,64.41268920898438,24.475711822509766,8.457083702087402,50.90005111694336,65.51432037353516,31.447572708129883
2014-04-14,9339.169921875,50.1635856628418,76.29959869384766,82.12469482421875,52.16032028198242,47.838287353515625,70.44367980957031,68.32022857666016,7.666543006896973,7.4372878074646,19.298704147338867,112.86097717285156,165.50392150878906,43.29974365234375,21.68812370300293,64.36270141601562,24.68968963623047,8.463274002075195,51.88318634033203,66.82462310791016,31.536041259765625
2014-04-15,9173.7099609375,50.07650375366211,75.14342498779297,80.67906951904297,51.34000015258789,46.227294921875,68.84867095947266,67.43080139160156,7.463902950286865,7.229328632354736,19.15764617919922,111.87651824951172,162.79425048828125,42.30070877075195,21.547931671142578,62.97035598754883,24.242273330688477,8.35183334350586,50.54254150390625,66.22588348388672,31.093734741210938
2014-04-16,9317.8203125,50.88642120361328,76.5213394165039,81.4018783569336,52.06694793701172,47.188114166259766,69.9170150756836,66.9424819946289,7.6530327796936035,7.39350700378418,19.569677352905273,112.89613342285156,166.5791778564453,42.869258880615234,21.771482467651367,64.55550384521484,24.4134578704834,8.42922306060791,51.16817855834961,66.34735870361328,31.595006942749023
2014-04-17,9409.7099609375,50.276798248291016,77.14693450927734,81.95259857177734,52.927284240722656,48.611270904541016,70.41358184814453,65.89610290527344,7.69356107711792,7.669874668121338,19.74785614013672,116.30657196044922,168.38560485839844,43.307857513427734,21.320035934448242,65.77649688720703,24.814186096191406,8.500422477722168,51.39162063598633,66.97212219238281,31.580263137817383
2014-04-22,9600.08984375,50.42485809326172,78.42189025878906,83.74240112304688,54.42787170410156,49.64432144165039,73.21990203857422,66.00946044921875,7.832032680511475,7.67352294921875,20.289806365966797,118.5919189453125,170.79417419433594,44.33938217163086,21.783260345458984,67.13314819335938,25.10598373413086,8.608765602111816,53.31321716308594,68.03077697753906,32.2142333984375
2014-04-23,9544.1904296875,50.1635856628418,77.17860412597656,83.84565734863281,54.334503173828125,49.01581573486328,72.85123443603516,66.75065612792969,7.794881343841553,7.590521335601807,20.041101455688477,117.81842803955078,168.55764770507812,44.14445877075195,21.669414520263672,66.17634582519531,24.938690185546875,8.565427780151367,53.40259552001953,68.0134048461914,32.30268478393555
