key_0,MDAX,AIR.DE,SY1.DE,SRT3.DE,QIA.DE,BNR.DE,HNR1.DE,PUM.DE,CBK.DE,TKA.DE,LXS.DE,AFX.DE,LHA.DE,EVT.DE,BC8.DE,G1A.DE,RAA.DE,RHM.DE,TEG.DE,UTDI.DE,FPE3.DE,PSM.DE,EVD.DE,NEM.DE,MOR.DE,GXI.DE,AIXA.DE,AOX.DE,FNTN.DE,NDA.DE,COK.DE
2014-04-01,16606.7109375,46.05029296875,32.26887512207031,23.402755737304688,15.31052303314209,37.82686233520508,56.088096618652344,19.315814971923828,12.294673919677734,19.191486358642578,49.46283721923828,18.957962036132812,17.001483917236328,3.875,28.742664337158203,27.98334503173828,232.79466247558594,43.311702728271484,6.256958484649658,30.386335372924805,30.873889923095703,19.44587516784668,22.124099731445312,4.633617401123047,68.08000183105469,42.17478561401367,11.791560173034668,6.761561870574951,17.692106246948242,31.553747177124023,16.182415008544922
2014-04-02,16614.580078125,45.71980667114258,32.358341217041016,23.421777725219727,15.330452919006348,37.40656661987305,55.735660552978516,19.381999969482422,12.525894165039062,19.0854549407959,49.73126983642578,19.25019645690918,17.2381649017334,4.019999980926514,28.309242248535156,27.9296875,231.82505798339844,43.35334396362305,6.159628391265869,30.8172550201416,30.159391403198242,19.292598724365234,21.72000503540039,4.643654823303223,68.12999725341797,42.099422454833984,11.915681838989258,6.898153781890869,17.616384506225586,32.157386779785156,15.988227844238281
2014-04-03,16628.83984375,46.15465545654297,32.34939193725586,23.702363967895508,15.37031078338623,37.756813049316406,55.47779083251953,19.575817108154297,12.557019233703613,19.119192123413086,49.937068939208984,19.55170249938965,17.251312255859375,4.000999927520752,28.71072769165039,27.921436309814453,233.808349609375,43.56153106689453,6.111658573150635,31.02604866027832,30.125959396362305,19.17691993713379,21.008251190185547,4.686895370483398,68.0,42.38315963745117,12.084487915039062,6.83637809753418,17.612939834594727,32.805274963378906,15.77323055267334
2014-04-04,16714.25,47.01565170288086,32.36281204223633,23.77845573425293,15.335434913635254,38.051025390625,56.07090759277344,19.45763397216797,12.823812484741211,19.389089584350586,49.88337707519531,20.210386276245117,17.759735107421875,3.9739999771118164,28.560169219970703,28.235111236572266,236.011962890625,43.81968688964844,6.163800239562988,31.625776290893555,30.163564682006836,19.182703018188477,21.077133178710938,4.710059642791748,66.80000305175781,42.427490234375,11.965331077575684,6.884424686431885,17.836669921875,32.99039077758789,15.606785774230957
2014-04-07,16482.830078125,46.26771545410156,32.36281204223633,23.77845573425293,15.081338882446289,37.7988395690918,55.23710632324219,19.377269744873047,12.632611274719238,18.998703002929688,48.693336486816406,19.50067710876465,17.461694717407227,3.809999942779541,28.181499481201172,27.851266860961914,231.4283905029297,42.97860336303711,6.177008628845215,30.25750732421875,29.871078491210938,18.769145965576172,21.168970108032227,4.652149200439453,63.709999084472656,41.50535202026367,11.707157135009766,6.877560615539551,17.520004272460938,32.95014572143555,15.107440948486328
2014-04-08,16253.5498046875,44.72835159301758,32.58198928833008,23.909236907958984,15.076355934143066,37.434593200683594,55.18552780151367,19.471817016601562,12.245762825012207,19.234861373901367,48.9707145690918,19.70941734313965,17.08037757873535,3.8510000705718994,27.752639770507812,27.294078826904297,226.97698974609375,42.39567184448242,6.165885925292969,29.671100616455078,30.447696685791016,18.422103881835938,21.14600944519043,4.6668195724487305,63.540000915527344,39.847259521484375,11.617790222167969,6.863832473754883,17.10696029663086,32.75296401977539,14.194290161132812
2014-04-09,16333.01953125,44.39787292480469,32.58198928833008,24.06379508972168,15.041481018066406,37.09834289550781,56.260009765625,19.618364334106445,12.36581802368164,19.52403450012207,48.9349250793457,19.881046295166016,17.124204635620117,3.8399999141693115,28.227121353149414,27.682044982910156,223.539306640625,42.92863464355469,6.158238410949707,30.017610549926758,30.59811782836914,18.41053581237793,21.42152976989746,4.702338218688965,64.04000091552734,40.033470153808594,11.776665687561035,6.824023246765137,17.32724952697754,32.77710723876953,14.906317710876465
2014-04-10,16269.8095703125,43.57166290283203,32.908531188964844,23.9567928314209,14.792366981506348,36.944236755371094,56.28580093383789,19.746002197265625,12.09458065032959,19.307157516479492,49.64178466796875,19.857852935791016,17.102291107177734,3.8299999237060547,27.37852668762207,27.364246368408203,225.65478515625,42.77041244506836,6.173532962799072,28.906997680664062,30.288915634155273,18.44234848022461,21.697044372558594,4.652149200439453,62.25,41.84672546386719,11.866033554077148,6.8912882804870605,17.2067813873291,32.221763610839844,14.47170352935791
2014-04-11,16029.23046875,43.280311584472656,32.06759262084961,23.738197326660156,14.787384033203125,36.1596794128418,56.22562789916992,19.59000015258789,11.810001373291016,18.96978759765625,48.594913482666016,19.361522674560547,16.668378829956055,3.7899999618530273,26.744365692138672,26.47273826599121,221.77635192871094,42.154170989990234,6.165885925292969,27.987411499023438,29.36549949645996,17.70777702331543,21.52254867553711,4.620490550994873,61.380001068115234,41.412254333496094,11.930577278137207,6.815786361694336,17.031234741210938,31.923978805541992,14.695944786071777
2014-04-14,15874.900390625,42.61499786376953,31.356365203857422,22.77252769470215,14.662827491760254,36.117652893066406,56.29438781738281,19.949277877807617,11.534316062927246,19.022802352905273,48.70228576660156,19.259471893310547,16.208168029785156,3.5999999046325684,26.598369598388672,26.175567626953125,221.4237518310547,41.05909729003906,6.12764835357666,26.80128288269043,29.319541931152344,17.540042877197266,21.23784828186035,4.5641255378723145,58.27000045776367,41.4521484375,11.756806373596191,6.756070613861084,16.466739654541016,32.69260025024414,14.31912612915039
